region,woreda,date,acute_cases,roll_mean,roll_std,variability_factor
amhara,janamora,2019-10-01,0.0,0.0,0.0,
amhara,janamora,2019-11-01,0.0,0.0,0.0,
amhara,janamora,2019-12-01,0.0,0.0,0.0,
amhara,janamora,2020-01-01,0.0,0.0,0.0,
amhara,janamora,2020-02-01,0.0,0.0,0.0,
amhara,janamora,2020-03-01,0.0,0.0,0.0,
amhara,janamora,2020-04-01,0.0,0.0,0.0,
amhara,janamora,2020-05-01,0.0,0.0,0.0,
amhara,janamora,2020-06-01,0.0,0.0,0.0,
amhara,janamora,2020-07-01,0.0,0.0,0.0,
amhara,janamora,2020-08-01,0.0,0.0,0.0,
amhara,janamora,2020-09-01,0.0,0.0,0.0,
amhara,janamora,2020-10-01,0.0,0.0,0.0,
amhara,janamora,2020-11-01,0.0,0.0,0.0,
amhara,janamora,2020-12-01,0.0,0.0,0.0,
amhara,janamora,2021-01-01,0.0,0.0,0.0,
amhara,janamora,2021-02-01,0.0,0.0,0.0,
amhara,janamora,2021-03-01,0.0,0.0,0.0,
amhara,janamora,2021-04-01,0.0,0.0,0.0,
amhara,janamora,2021-05-01,0.0,0.0,0.0,
amhara,janamora,2021-06-01,0.0,0.0,0.0,
amhara,janamora,2021-07-01,0.0,0.0,0.0,
amhara,janamora,2021-08-01,0.0,0.0,0.0,
amhara,janamora,2021-09-01,0.0,0.0,0.0,
amhara,janamora,2021-10-01,0.0,0.0,0.0,
amhara,janamora,2021-11-01,0.0,0.0,0.0,
amhara,janamora,2021-12-01,0.0,0.0,0.0,
amhara,janamora,2022-01-01,0.0,0.0,0.0,
amhara,janamora,2022-02-01,0.0,0.0,0.0,
amhara,janamora,2022-03-01,0.0,0.0,0.0,
amhara,janamora,2022-04-01,0.0,0.0,0.0,
amhara,janamora,2022-05-01,0.0,0.0,0.0,
amhara,janamora,2022-06-01,0.0,0.0,0.0,
amhara,janamora,2022-07-01,3044.0,507.3333333333333,1242.707796171999,2.4494897427831783
amhara,janamora,2022-08-01,4135.0,1196.5,1885.4435817600058,1.5757990654074432
amhara,janamora,2022-09-01,3218.0,1732.8333333333333,1934.084632756971,1.1161400208273373
amhara,janamora,2022-10-01,3155.0,2258.6666666666665,1792.442988400654,0.7935845580286249
amhara,janamora,2022-11-01,1802.0,2559.0,1458.0828508695931,0.5697861863499778
amhara,janamora,2022-12-01,3808.0,3193.6666666666665,803.0862137197139,0.2514621272475881
amhara,janamora,2023-01-01,2537.0,3109.1666666666665,847.4322195117826,0.27255927724849616
amhara,janamora,2023-02-01,2985.0,2917.5,683.1359308366085,0.2341511331059498
amhara,janamora,2023-03-01,2615.0,2817.0,674.3853497815619,0.23939842022774652
